"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
t2fag04,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">4. I felt useful <span style=""font-weight:normal;"">(<i>that my help was necessary</i>)</span> because I translated for my <font color=""blue"">father</font> today

<font color=""green"">Me sentí útil <span style=""font-weight:normal;"">(<i>que mi ayuda fue necesaria</i>)</span> porque traduje para mi <font color=""blue"">padre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag05,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">5. I was in situations where I put into practice my social skills <span style=""font-weight:normal;"">(<i>interactions with others</i>)</span> because I translated for my <font color=""blue"">father</font> today

<font color=""green"">Me encontré en situaciones donde practiqué mis habilidades sociales <span style=""font-weight:normal;"">(<i>interacciones con otros</i>)</span> porque traduje para mi <font color=""blue"">padre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag06,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">6. I was good at translating for my <font color=""blue"">father</font> today

<font color=""green"">Fui bueno/a al traducir para mi <font color=""blue"">padre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag07,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">7. I was skilled at translating for my <font color=""blue"">father</font> today

<font color=""green"">Fui hábil <span style=""font-weight:normal;"">(<i>experto/a</i>)</span> al traducir para mi <font color=""blue"">padre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag08,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">8. I translated correctly for my <font color=""blue"">father</font> today

<font color=""green"">Traduje correctamente para mi <font color=""blue"">padre</font> el día de hoy </font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag09,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">9. I desire to <span style=""font-weight:normal;"">(<i>want to</i>)</span> help my <font color=""blue"">father</font> more because I translated for him today

<font color=""green"">Deseo <span style=""font-weight:normal;"">(<i>quiero</i>)</span> ayudarle más a mi <font color=""blue"">padre</font> porque traduje para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag10,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">10. I felt a close bond to my <font color=""blue"">father</font> because I translated for him today

<font color=""green"">Me sentí cercano/a a mi <font color=""blue"">padre</font> porque traduje para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag11,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">11. I thought my <font color=""blue"">father's</font> opinion was important because I translated for him today

<font color=""green"">Pensé que la opinión de mi <font color=""blue"">padre</font> era importante porque traduje para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag12,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">12. I felt more knowledgeable <span style=""font-weight:normal;"">(<i>know more</i>)</span> than my <font color=""blue"">father</font> because I translated for him today

<font color=""green"">Sentí que era más inteligente <span style=""font-weight:normal;"">(<i>sé más</i>)</span> que mi <font color=""blue"">padre</font> porque traduje para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag13,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">13. My <font color=""blue"">father</font> was not in control of the situation when he asked me to translate for him today

<font color=""green"">Mi <font color=""blue"">padre</font> no estaba en control de la situación cuando me pidió que tradujera para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag14,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">14. I felt I was my <font color=""blue"">father's</font> protector because I translated for him today

<font color=""green"">Sentí que yo era el/la protector/a de mi <font color=""blue"">padre</font> porque traduje para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag15,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">15. I was aware of my <font color=""blue"">father's</font> problems because I translated for him today

<font color=""green"">Estuve consciente de los problemas de mi <font color=""blue"">padre</font> porque traduje para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag16,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">16. I became impatient when my <font color=""blue"">father</font> asked me to translate for him today

<font color=""green"">Perdí la paciencia cuando mi <font color=""blue"">padre</font> me pidió que tradujera para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag17,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">17. I felt desperation when my <font color=""blue"">father</font> asked me to translate for him today

<font color=""green"">Sentí desesperación cuando mi <font color=""blue"">padre</font> me pidió que tradujera para él el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag18,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">18. I would rather have done other things than translate for my <font color=""blue"">father</font> today

<font color=""green"">Hubiera preferido hacer otras cosas que traducir para mi <font color=""blue"">padre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag19,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">19. Being a translator for my <font color=""blue"">father</font> was important to who I was today

<font color=""green"">Ser traductor/a para mi <font color=""blue"">padre</font> fue importante para quien fui el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag20,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">20. A part of who I was today was being a translator for my <font color=""blue"">father</font>

<font color=""green"">Parte de quien fui el día de hoy fue ser traductor/a para mi <font color=""blue"">padre</font></font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2fag21,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">21. A key part of how I saw myself today was being a translator for my <font color=""blue"">father</font>

<font color=""green"">Una parte clave de cómo me vi el día de hoy fue ser un/a traductor/a para mi <font color=""blue"">padre</font>
</font></font>","0, <font size=""4.5"">  0 I didn't translate for my father today<br><font color=""green"">No traduje para mi padre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2pbar2,day_2_tuesday_daily_survey,,descriptive,"<div style=""width: 100%; border: 0; margin: 0; padding: 0; background-color: #DCDCDC; text-align: center;""> <font size=""5.5""> 30% complete
<div style=""width: 30%; border: 0; margin: 0; padding: 0; background-color: #228B22;""><span style=""color: #228B22;"">.</span></div>
</div>",,,,,,,"[t2fag21]='0' or [t2fag21]='1' or [t2fag21]='2' or [t2fag21]='3' or [t2fag21]='4' or [t2fag21]='5'",,,,,,
t2s3qa1,day_2_tuesday_daily_survey,"<font size=""5.5""><center>Section 3/<font color=""green"">Sección 3</font></center>",descriptive,"<font size=""5.5"">How much do you agree with the following statements?

<font color=""green"">¿Qué tan de acuerdo está con las siguientes declaraciones?</font></i>",,,,,,,,,,,,,
t2agr01,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">1. I was comfortable working with people of Mexican origin today

<font color=""green"">Me sentí cómodo/a trabajando con gente de origen mexicano el día de hoy</font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2agr02,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">2. It was important for me today to maintain or develop cultural practices <span style=""font-weight:normal;"">(<i>way of living or doing things</i>)</span> typically found in people of Mexican origin

<font color=""green"">Fue importante para mí el día de hoy mantener o desarrollar costumbres típicas <span style=""font-weight:normal;"">(<i>modo de vivir o de hacer las cosas</i>)</span> de la gente de origen mexicano</font></font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2agr03,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">3. I believed in mainstream <span style=""font-weight:normal;"">(<i>typical</i>)</span> Mexican values <span style=""font-weight:normal;"">(<i>important beliefs</i>)</span> today

<font color=""green"">Creí en los valores <span style=""font-weight:normal;"">(<i>creencias importantes</i>)</span> populares <span style=""font-weight:normal;"">(<i>típicos</i>)</span> de la cultura mexicana el día de hoy</font></font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2agr04,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">4. I was interested in having friends of Mexican origin today

<font color=""green"">Estuve interesado/a en tener amistades de origen mexicano el día de hoy </font></font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2agr05,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">5. I was comfortable working with U.S. Americans today

<font color=""green"">Me sentí cómodo/a trabajando con gente estadounidense el día de hoy</font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2agr06,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">6. It was important for me to maintain or develop typical U.S. American cultural practices <span style=""font-weight:normal;"">(<i>way of living or doing things</i>)</span> today

<font color=""green"">Fue importante para mí mantener o desarrollar las costumbres típicas de la cultura estadounidense <span style=""font-weight:normal;"">(<i>modo de vivir o de hacer las cosas</i>)</span> el día de hoy</font></font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2agr07,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">7. I believed in mainstream <span style=""font-weight:normal;"">(<i>typical</i>)</span> U.S. American values <span style=""font-weight:normal;"">(<i>important beliefs</i>)</span> today

<font color=""green"">Creí en los valores <span style=""font-weight:normal;"">(<i>creencias importantes</i>)</span> populares <span style=""font-weight:normal;"">(<i>típicos</i>)</span> de la gente estadounidense el día de hoy</font></font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2agr08,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">8. I was interested in having U.S. American friends today

<font color=""green"">Estuve interesado/a en tener amistades estadounidenses el día de hoy</font></font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2s4m,day_2_tuesday_daily_survey,"<font size=""5.5""><center>Section 4A/<font color=""green"">Sección 4A</font></center>",descriptive,"<font size=""5.5"">How much do you agree with the following?

<font color=""green"">¿Qué tan de acuerdo está con lo siguiente?</font></font>",,,,,,,,,,,,,
t2sc4m1,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">1. Did your <font color=""red"">mother</font> know when you got home today?

<font color=""green"">¿Su <font color=""red"">madre</font> supo cuándo llegó a casa el día de hoy?</font></font>","0, <font size=""4.5""> 0 I did not interact with my mother today<br><font color=""green""> Yo no interactué con mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2sc4m2,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">2. Did your <font color=""red"">mother</font> know who you were with when you were out today? 

<font color=""green"">¿Su <font color=""red"">madre</font> supo con quién estuvo cuando salió el día de hoy?</font></font>","0, <font size=""4.5""> 0 I did not interact with my mother today<br><font color=""green""> Yo no interactué con mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2sc4m3,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">3. Did your <font color=""red"">mother</font> give you reasons <span style=""font-weight:normal;"">(<i>explanations</i>)</span> for her decisions today? 

<font color=""green"">¿Su <font color=""red"">madre</font> le dió razones <span style=""font-weight:normal;"">(<i>explicaciones</i>)</span> acerca de las decisiones que tomó el día de hoy?</font></font>","0, <font size=""4.5""> 0 I did not interact with my mother today<br><font color=""green""> Yo no interactué con mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2sc4m4,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">4. Did your <font color=""red"">mother</font> ask you what you thought before making decisions that affected you today? 

<font color=""green"">¿Su <font color=""red"">madre</font> le preguntó lo que pensaba antes de tomar decisiones que lo/la afectaron el día de hoy?</font></font>","0, <font size=""4.5""> 0 I did not interact with my mother today<br><font color=""green""> Yo no interactué con mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
t2sc4m5,day_2_tuesday_daily_survey,,radio,"<font size=""5.5"">5. Did your <font color=""red"">mother</font> let you know that she appreciated you, your ideas, or the things you did today? 

<font color=""green"">¿Su <font color=""red"">madre</font> le hizo saber que lo/la estimaba, que apreciaba sus ideas o las cosas que hizo el día de hoy?</font></font>","0, <font size=""4.5""> 0 I did not interact with my mother today<br><font color=""green""> Yo no interactué con mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br>",,,,,,,,RH,,,,
